'a'de'li'an'bu'lao'di 阿德里安布劳迪
'jin'zai'yuan 金载沅
'jiu'jing'fa'zi 酒井法子
'ka'mei'lun'di'ya'zi 卡梅伦迪亚兹
'kai'di'he'er'mu'si 凯蒂赫尔姆斯
'kai'li'an'ni'mo'si 凯莉安妮莫斯
'kai'li'mi'luo 凯莉米洛
'kai'se'lin'he'ben 凯瑟琳赫本
'kai'se'lin'ze'ta'qiong'si 凯瑟琳泽塔琼斯
'kai'te'bu'lan'qie'te 凯特布兰切特
'kai'te'ha'de'sen 凯特哈德森
'kai'te'he'de'sen 凯特赫德森
'kai'te'lin'na'sang'di'nuo'mo'lei'nuo 凯特琳娜桑迪诺莫雷诺
'kai'te'wen'si'lai'te 凯特温斯莱特
'kai'wen'si'bei'xi 凯文斯贝西
'kai'xi'bei'zi 凯西贝兹
'kan'ye'wei'si'te 坎耶维斯特
'ke'li'fu'ou'wen 克里夫欧文
'ke'li'si'ku'bai 克里斯库柏
'ke'li'si'ting'a'kui'lai'la 克莉丝汀阿奎莱拉
'ke'li'si'tuo'fu'wo'ken 克里斯托弗沃肯
'ke'lin'te'yi'si'te'wu'de 克林特伊斯特伍德
'kui'yin'la'di'fa 奎因拉蒂法
'kun'ting'ta'lun'di'nuo 昆汀塔伦蒂诺
'lai'ang'na'duo'di'ka'pu'li'ao 莱昂纳多迪卡普里奥
'lao'la'lin'ni 劳拉林尼
'lao'la'lin'ni 劳拉琳妮
'lei'de'li'si'ke'te 雷德利斯科特
'lei'ni'qi'wei'ge 蕾妮齐薇格
'li'bing'xian 李秉宪
'li'dong'jian 李东健
'li'en'zhu 李恩珠
'li'fu'tai'le 丽芙泰勒
'li'ying'ai 李英爱
'lin'sai'luo'han 林赛罗韩
'ling'mu'bao'nai'mei 铃木保奈美
'ling'mu'ya'mei 铃木亚美
'liu'shi'yuan 柳时元
'liu'yu'ling 刘玉玲
'long'ze'xiu'ming 泷泽秀明
'luo'bo'ma'xie'er 罗伯马歇尔
'luo'bo'te'ao'er'te'man 罗伯特奥尔特曼
'luo'en'huo'hua'de 罗恩霍华德
'luo'man'bo'lan'si'ji 罗曼波兰斯基
'luo'su'ke'luo 罗素克洛
'lv'ri'yue'dui 绿日乐队
'ma'ding'si'ke'sai'si 马丁斯科赛斯
'ma'ji'shi'mi'si 玛吉史密斯
'ma'li'lian'meng'lu 玛丽莲梦露
'ma'li'sha'tuo'mei 玛丽莎托梅
'ma'li'ya'kai'li 玛丽亚凯莉
'ma'qian'ya'gai'ha'deng 玛茜亚盖哈登
'ma'te'da'meng 马特达蒙
'mai'dang'na 麦当娜
'mai'ke'er'dao'ge'la'si 迈克尔道格拉斯
'mai'ke'er'jie'ke'xun 迈克尔杰克逊
'mai'ke'li 迈克李
'mao'wang 猫王
'mei'er'ji'bu'sen 梅尔吉布森
'mei'ge'rui'en 梅格瑞恩
'mo'gen'fu'li'man 摩根弗里曼
'mo'ni'ka'bei'lu'qi 莫妮卡贝鲁齐
'mu'cun'tuo'zai 木村拓哉
'na'ta'li'bo'te'man 娜塔丽波特曼
'ni'gu'la'si'kai'qi 尼古拉斯凯奇
'ni'ke'ji'de'man 妮可基德曼
'nuo'la'qiong'si 诺拉琼斯
'pa'li'si'xi'er'dun 帕丽斯希尔顿
'pei'de'luo'a'er'mo'duo'wa 佩德罗阿尔莫多瓦
'pei'nei'luo'pu'ke'lu'zi 佩内洛普克鲁兹
'pei'yong'jun 裴勇俊
'pi'er'si'bu'lu'si'nan 皮尔斯布鲁斯南
'piao'en'hui 朴恩惠
'piao'xin'yang 朴信阳
'pu'cai'lin 朴蔡琳
'qiang'ni'dai'pu 强尼戴普
'qiao'a'jin'fei'ni'ke'si 乔阿金菲尼克斯
'qiao'dan 乔丹
'qiao'en'wo'yi'te 乔恩沃伊特
'qiao'zhi'ke'lu'ni 乔治克鲁尼
'qiao'zhi'lu'ka'si 乔治卢卡斯
'qiong'ai'lun 琼艾伦
'qiu'de'luo 裘德洛
'quan'xiang'yu 权相宇
'quan'zhi'xian 全智贤
'rang'ya'er 让雅尔
'rui'qi'ma'ting 瑞奇马汀
'sha'la'bu'lai'man 莎拉布莱曼
'sha'lang'si'tong 莎朗斯通
'sha'ma'hai'ya'ke 莎玛海雅克
'shan'kou'bai'hui 山口百惠
'shen'en'qing 申恩庆
'shen'tian'gong'zi 深田恭子
'shen'yin'he 沈银河
'shi'di'fen'dao'rui 史蒂芬道瑞
'shi'di'wen'si'pi'er'bo'ge 史蒂文斯皮尔伯格
'si'di'fen'dao'de'li 斯蒂芬道德利
'si'di'wen'suo'de'bo'ge 斯蒂文索德伯格
'si'jia'li'yue'han'song 斯嘉丽约翰松
'song'cheng'xian 宋承宪
'song'dao'cai'cai'zi 松岛菜菜子
'song'hui'qiao 宋慧乔
'song'long'zi 松隆子
'song'pu'ya'mi 松浦亚弥
'song'yun'er 宋允儿
'su'fei'ma'suo 苏菲玛索
'su'zhi'xie 苏志燮
'sun'yi'zhen 孙艺珍
'suo'fei'ao'ke'ni'duo 索菲奥克妮多
'suo'fei'ya'ke'bo'la 索菲亚科波拉
'tai'le'hai'ke'fu'de 泰勒海克福德
'tang'mi'li'qiong'si 汤米李琼斯
'tang'mu'han'ke'si 汤姆汉克斯
'tang'mu'ke'lu'si 汤姆克鲁斯
'tang'mu'wei'er'jin'sen 汤姆威尔金森
'tang'qian'de'er 唐钱德尔
'teng'yuan'ji'xiang 藤原纪香
'tuo'ma'si'ha'deng'qiu'qi 托马斯哈登丘奇
'wa'zhong'yang'jie 洼冢洋介
'wei'duo'li'ya 维多利亚
'wei'er'shi'mi'si 威尔史密斯
'wei'lian'da'fu 威廉达福
'wei'nuo'na'lai'de 薇诺娜赖德
'wen'gen'ying 文根英
'wu'ma'se'man 乌玛瑟曼
'xi'en'pan 西恩潘
'xi'la'li'si'wan'ke 希拉里斯万克
'xi'lin'di'weng 席琳迪翁
'xi'wei'si'shi'tai'long 席维斯史泰龙
'xi'xi'si'bei'xi'ke 西席斯贝西克
'xiao'chi'rong'zi 小池荣子
'xiao'en'kang'na'li 肖恩康纳利
'xiu'lan'deng'bo'er 秀兰邓波儿
'xuan'bin 玄彬
'ya'li'shan'da'pei'en 亚历山大佩恩
'yan'jing'jun'er 岩井俊二
'yan'zuo'zhen'you'zi 岩佐真悠子
'yi'en'mai'kai'lun 伊恩麦凯伦
'yi'li'sha'bai'he'li 伊丽莎白赫莉
'yi'li'sha'bai'tai'le 伊丽莎白泰勒
'yi'sang'huo'ke 伊桑霍克
'ying'ge'li'bao'man 英格丽褒曼
'you'ban'li'hui 友坂理惠
'yu'duo'tian'guang 宇多田光
'yuan'bin 元彬
'yue'han'rui'li 约翰瑞里
'zhan'ni'fu'an'ni'si'dun 詹妮弗安妮斯顿
'zhan'ni'fu'jia'na 詹妮弗加纳
'zhang'dong'jian 张东健
'zhang'na'la 张娜拉
'zhang'rui'ji 张瑞姬
'zhao'ren'cheng 赵仁成
'zhen'ni'fu'kang'nai'li 珍妮弗康奈利
'zhen'ni'fu'luo'pei'zi 珍妮芙洛佩兹
'zhen'ni'jie'ke'xun 珍妮杰克逊
'zheng'duo'bin 郑多彬
'zhong'jian'you'ji'hui 仲间由纪惠
'zhong'shan'mei'sui 中山美穗
'zhu'di'dan'qi 朱迪丹奇
'zhu'er'ba'li'mo'er 茱儿巴里摩尔
'zhu'li'wo'er'te'si 朱莉沃尔特斯
'zhu'li'ya'luo'bo'ci 朱莉亚罗伯茨
'zhu'li'ye'bi'nuo'shen 朱丽叶比诺什
'zhu'ye'nei'feng 竹野内丰
'zun'long 尊龙
